model,temperature,text_informativeness_f1,text_category_f1,avg_latency_seconds,total_tokens_used
deepseek-v4-flash,0.0,0.846262341325811,0.605826062107217,2.286498396995058,909557
deepseek-v4-flash,0.1,0.8359486447931527,0.5974470947850383,2.320622145417202,898307
deepseek-v4-flash,0.2,0.8458274398868458,0.5941399894715592,1.8946033155775641,906463
deepseek-v4-flash,0.3,0.842998585572843,0.6049133342270419,1.8569116844124054,906637
typhoon-v2.5,0.0,0.7659574468085106,0.5511289940765635,0.5003028542871969,720950
typhoon-v2.5,0.1,0.7819548872180451,0.5600745389439968,0.4611971658539487,729582
typhoon-v2.5,0.2,0.7777777777777778,0.5549963951964653,0.46820902254476965,730818
typhoon-v2.5,0.3,0.7771084337349398,0.5591845984291527,0.4771123369376498,728357
gemma-4,0.0,0.8468965517241379,0.612626763691214,4.485968212682413,746161
gemma-4,0.1,0.8460471567267683,0.6150022155313131,5.399959330064842,741465
gemma-4,0.2,0.8423988842398884,0.6147222699501401,4.446089269155525,736710
gemma-4,0.3,0.8456189151599444,0.6130116289755962,4.565212838678246,739158
