model,temperature,text_informativeness_f1,text_category_f1,avg_latency_seconds,total_tokens_used
deepseek-v4-flash,0.0,0.9104761904761904,0.7577304162893208,3.431471585294272,2056727
deepseek-v4-flash,0.1,0.9057558507273877,0.7541566075034278,2.0876796971095284,2066206
deepseek-v4-flash,0.2,0.9050632911392406,0.7529731318018955,2.107512289064038,2064670
deepseek-v4-flash,0.3,0.908745247148289,0.7583037524523955,3.0437150960332495,2061663
typhoon-v2.5,0.0,0.9120603015075377,0.7386724866037163,0.631392994505552,1994902
typhoon-v2.5,0.1,0.9102322661644695,0.7337552435708423,0.6394866397002905,1996668
typhoon-v2.5,0.2,0.9097744360902256,0.7380299995390018,0.6334204846398938,2001505
typhoon-v2.5,0.3,0.9109159347553325,0.74033975071009,0.6772927195125363,1998249
gemma-4,0.0,0.9009009009009009,0.7112501281235727,1.3277820486378529,1660813
gemma-4,0.1,0.9010197960407919,0.7092972243155425,1.5957467236397551,1663455
gemma-4,0.2,0.9016786570743405,0.7118586709389698,1.5825193639837365,1664809
gemma-4,0.3,0.9002403846153846,0.7121132892520677,1.2244483178842325,1659855
