model,temperature,text_informativeness_f1,text_category_f1,avg_latency_seconds,total_tokens_used
deepseek-v4-flash,0.0,0.8029197080291971,0.5631187417332066,2.941554168780961,701931
deepseek-v4-flash,0.1,0.7876106194690266,0.5506408544386983,2.890643763827138,703516
deepseek-v4-flash,0.2,0.799410029498525,0.5624469983758819,3.0077532278114107,705837
deepseek-v4-flash,0.3,0.797037037037037,0.5586570300146034,2.188967772214061,705873
typhoon-v2.5,0.0,0.787518573551263,0.5749118021470514,0.4660934067342386,617879
typhoon-v2.5,0.1,0.7802690582959642,0.565824924794105,0.4135636779891542,617871
typhoon-v2.5,0.2,0.7809239940387481,0.5628250685071072,0.4140822322245138,617873
typhoon-v2.5,0.3,0.7857142857142857,0.5716842697419768,0.38319186622877993,617889
gemma-4,0.0,0.7068403908794788,0.537905236060919,1.6762601265394355,580431
gemma-4,0.1,0.7055016181229773,0.5316356354309391,1.9417105423976702,581054
gemma-4,0.2,0.711755233494364,0.5452910212920498,2.114148866132911,581167
gemma-4,0.3,0.7096774193548387,0.5345327399289519,2.6736310288250684,581909
