model,temperature,text_informativeness_f1,text_category_f1,avg_latency_seconds,total_tokens_used
deepseek-v4-flash,0.0,0.7252396166134185,0.5239828176570108,3.76252194609775,843564
deepseek-v4-flash,0.1,0.7106109324758842,0.5157392406834345,3.9765883617667086,843571
deepseek-v4-flash,0.2,0.7344992050874404,0.5150824928754343,3.6510835012116756,841131
deepseek-v4-flash,0.3,0.7339743589743589,0.5377449558837393,3.1832633635912284,842617
typhoon-v2.5,0.0,0.6376306620209059,0.4635867860879499,0.5132152184072244,754671
typhoon-v2.5,0.1,0.6352530541012217,0.4543178442861155,0.4687845645197834,754685
typhoon-v2.5,0.2,0.643598615916955,0.4695055495197948,0.4447856305604912,754674
typhoon-v2.5,0.3,0.6411149825783972,0.4664099828294683,0.4836689328767389,754679
gemma-4,0.0,0.6779089376053963,0.4819350713458313,2.6163618460119484,722704
gemma-4,0.1,0.6823529411764706,0.4825427475665651,3.072066497517772,722726
gemma-4,0.2,0.6823529411764706,0.4866555933005919,3.0027900530522564,722652
gemma-4,0.3,0.6756756756756757,0.4833315416143016,2.9060087033002024,722761
