model,temperature,text_informativeness_f1,text_category_f1,avg_latency_seconds,total_tokens_used
deepseek-v4-flash,0.0,0.9067949488875526,0.7282522109325544,1.2398089305761975,2168228
deepseek-v4-flash,0.1,0.907563025210084,0.728277463050796,1.2493545649802849,2168220
deepseek-v4-flash,0.2,0.9067949488875526,0.7258816144513838,1.1818440518033948,2167944
deepseek-v4-flash,0.3,0.9038461538461539,0.719733828169981,1.744866130170057,2168183
typhoon-v2.5,0.0,0.9024970273483948,0.6951831512279951,0.5586271209026269,2198354
typhoon-v2.5,0.1,0.9055258467023173,0.7014442949983062,0.5603540489584966,2198363
typhoon-v2.5,0.2,0.9019607843137255,0.6902794253081207,0.5085412473827892,2198355
typhoon-v2.5,0.3,0.9023809523809524,0.6947144281528685,0.49463219442012957,2198351
gemma-4,0.0,0.90253987005316,0.7143462630322882,0.8923346025836444,1810891
gemma-4,0.1,0.90253987005316,0.7136730522972156,0.9949666012056653,1810890
gemma-4,0.2,0.90253987005316,0.7161841063456692,0.8808842211553495,1810891
gemma-4,0.3,0.90253987005316,0.7160543036054866,1.2138068596677538,1811034
