model,temperature,text_informativeness_f1,text_category_f1,avg_latency_seconds,total_tokens_used
deepseek-v4-flash,0.0,0.7418856259659969,0.5768004823208769,2.819547474146839,399377
deepseek-v4-flash,0.1,0.74884437596302,0.5319963257494469,1.9105181413817691,398964
deepseek-v4-flash,0.2,0.7469135802469136,0.5242896614470102,1.8123669386859909,399081
deepseek-v4-flash,0.3,0.7553516819571865,0.5309046765933702,1.8840811171854634,399143
typhoon-v2.5,0.0,0.707037643207856,0.5574208507414714,0.4088933325383768,326105
typhoon-v2.5,0.1,0.7068403908794788,0.4853843652700518,0.4748173686137712,326117
typhoon-v2.5,0.2,0.7121951219512195,0.4942894112990033,0.5531279157357387,326112
typhoon-v2.5,0.3,0.7145187601957586,0.4916960394477723,0.5026528298617359,326115
gemma-4,0.0,0.7206349206349206,0.5488916160557078,2.538492530465601,298514
gemma-4,0.1,0.7298578199052133,0.5175507492966271,1.9502560133003144,297789
gemma-4,0.2,0.7258320126782885,0.5155903493958551,2.1604792088626392,298298
gemma-4,0.3,0.7255520504731862,0.5118489387553753,2.188269248046723,298853
