model,temperature,text_informativeness_f1,text_category_f1,avg_latency_seconds,total_tokens_used
deepseek-v4-flash,0.0,0.7422360248447205,0.5240230285039285,2.289199539389743,399156
deepseek-v4-flash,0.1,0.7457627118644068,0.5357741176657185,2.6922848751820414,399659
deepseek-v4-flash,0.2,0.7480680061823802,0.5311542990415647,2.3312768869665987,399352
deepseek-v4-flash,0.3,0.7414330218068536,0.5286481619924356,2.150713390563114,399534
typhoon-v2.5,0.0,0.7058823529411765,0.48380114944883323,0.3801951080679419,326102
typhoon-v2.5,0.1,0.7068403908794788,0.4899578228403286,0.37534384376024343,326104
typhoon-v2.5,0.2,0.713128038897893,0.4871314134132265,0.36411542484009884,326112
typhoon-v2.5,0.3,0.7049180327868853,0.4864854541451051,0.3520411984379073,326120
gemma-4,0.0,0.7217806041335453,0.5169860284534475,2.322486149362359,297672
gemma-4,0.1,0.7238095238095238,0.5148109326636162,2.376877502141246,297560
gemma-4,0.2,0.722662440570523,0.5184448321903143,2.8659007577782134,298596
gemma-4,0.3,0.7295597484276729,0.5106876919562028,2.8084912105385524,299020
